year, score, num
2010,3,455
2010,4,1550
2010,5,3640
2010,6,6640
2010,7,9900
2010,8,13185
2010,9,16405
2010,10,17960
2010,11,18785
2010,12,19110
2010,13,17970
2010,14,16375
2010,15,16400
2010,16,11960
2010,17,7085
2010,18,5360
2011,3,340
2011,4,1295
2011,5,3145
2011,6,5965
2011,7,9410
2011,8,12920
2011,9,16365
2011,10,18450
2011,11,18840
2011,12,19390
2011,13,18055
2011,14,16555
2011,15,16165
2011,16,12205
2011,17,7220
2011,18,5760
2012,3,245
2012,4,1170
2012,5,2805
2012,6,5520
2012,7,8700
2012,8,11910
2012,9,15275
2012,10,17445
2012,11,18400
2012,12,18845
2012,13,17930
2012,14,16090
2012,15,15755
2012,16,11670
2012,17,6925
2012,18,5595
2013,3,280
2013,4,980
2013,5,2670
2013,6,5120
2013,7,8370
2013,8,11665
2013,9,15140
2013,10,17530
2013,11,18370
2013,12,19240
2013,13,17905
2013,14,16035
2013,15,15515
2013,16,11420
2013,17,6670
2013,18,5290
2014,3,280
2014,4,1090
2014,5,2735
2014,6,5475
2014,7,8510
2014,8,12045
2014,9,15035
2014,10,17355
2014,11,18040
2014,12,18645
2014,13,17170
2014,14,15395
2014,15,14245
2014,16,10885
2014,17,6960
2014,18,5580
2015,3,255
2015,4,1025
2015,5,2640
2015,6,5300
2015,7,8645
2015,8,12320
2015,9,15775
2015,10,17935
2015,11,18875
2015,12,19250
2015,13,17805
2015,14,15595
2015,15,14200
2015,16,11035
2015,17,7155
2015,18,5670
