year, uni, subject, num
2007,"The University of Aberdeen","Medicine and Dentistry",175
2007,"The University of Aberdeen","Subjects allied to Medicine",100
2007,"The University of Aberdeen","Biological Sciences",335
2007,"The University of Aberdeen","Veterinary Sciences, Agriculture and related",20
2007,"The University of Aberdeen","Physical Sciences",200
2007,"The University of Aberdeen","Mathematical Sciences",25
2007,"The University of Aberdeen","Engineering",245
2007,"The University of Aberdeen","Computer Sciences",40
2007,"The University of Aberdeen","Architecture, Building and Planning",45
2007,"The University of Aberdeen","Social Studies",235
2007,"The University of Aberdeen","Law",225
2007,"The University of Aberdeen","Business and Admin studies",125
2007,"The University of Aberdeen","Linguistics, Classics and related",85
2007,"The University of Aberdeen","European Languages, Literature and related",55
2007,"The University of Aberdeen","History and Philosophical studies",130
2007,"The University of Aberdeen","Creative Arts and Design",50
2007,"The University of Aberdeen","Education",100
2007,"The University of Aberdeen","Combined arts",155
2007,"The University of Aberdeen","Combined sciences",25
2007,"The University of Aberdeen","Combined social sciences",95
2007,"The University of Aberdeen","Sciences combined with Social Sciences or Arts",120
2007,"The University of Aberdeen","Social Sciences combined with Arts",160
2007,"Abertay University","Subjects allied to Medicine",105
2007,"Abertay University","Biological Sciences",155
2007,"Abertay University","Veterinary Sciences, Agriculture and related",5
2007,"Abertay University","Physical Sciences",60
2007,"Abertay University","Engineering",25
2007,"Abertay University","Computer Sciences",215
2007,"Abertay University","Social Studies",75
2007,"Abertay University","Law",80
2007,"Abertay University","Business and Admin studies",120
2007,"Abertay University","Creative Arts and Design",5
2007,"Abertay University","Combined sciences",55
2007,"Abertay University","Combined social sciences",5
2007,"Abertay University","Sciences combined with Social Sciences or Arts",105
2007,"Aberystwyth University","Biological Sciences",220
2007,"Aberystwyth University","Veterinary Sciences, Agriculture and related",125
2007,"Aberystwyth University","Physical Sciences",220
2007,"Aberystwyth University","Mathematical Sciences",25
2007,"Aberystwyth University","Engineering",15
2007,"Aberystwyth University","Computer Sciences",105
2007,"Aberystwyth University","Social Studies",200
2007,"Aberystwyth University","Law",230
2007,"Aberystwyth University","Business and Admin studies",160
2007,"Aberystwyth University","Mass Communication and Documentation",25
2007,"Aberystwyth University","Linguistics, Classics and related",60
2007,"Aberystwyth University","European Languages, Literature and related",30
2007,"Aberystwyth University","Non-European Languages, Literature and related",5
2007,"Aberystwyth University","History and Philosophical studies",100
2007,"Aberystwyth University","Creative Arts and Design",235
2007,"Aberystwyth University","Combined arts",250
2007,"Aberystwyth University","Combined sciences",35
2007,"Aberystwyth University","Combined social sciences",45
2007,"Aberystwyth University","Sciences combined with Social Sciences or Arts",60
2007,"Aberystwyth University","Social Sciences combined with Arts",110
2007,"Aberystwyth University","General, other combined and unknown",5
2007,"ALRA (The Academy of Live and Recorded Arts)","Creative Arts and Design",30
2007,"The College of Agriculture, Food and Rural Enterprise","Veterinary Sciences, Agriculture and related",105
2007,"The College of Agriculture, Food and Rural Enterprise","Combined sciences",5
2007,"American InterContinental University - London","Mass Communication and Documentation",5
2007,"American InterContinental University - London","Creative Arts and Design",10
2007,"American InterContinental University - London","Social Sciences combined with Arts",5
2007,"Anglia Ruskin University","Subjects allied to Medicine",180
2007,"Anglia Ruskin University","Biological Sciences",215
2007,"Anglia Ruskin University","Veterinary Sciences, Agriculture and related",20
2007,"Anglia Ruskin University","Physical Sciences",35
2007,"Anglia Ruskin University","Engineering",105
2007,"Anglia Ruskin University","Computer Sciences",85
2007,"Anglia Ruskin University","Technologies",35
2007,"Anglia Ruskin University","Architecture, Building and Planning",85
2007,"Anglia Ruskin University","Social Studies",295
2007,"Anglia Ruskin University","Law",165
2007,"Anglia Ruskin University","Business and Admin studies",280
2007,"Anglia Ruskin University","Mass Communication and Documentation",95
2007,"Anglia Ruskin University","Linguistics, Classics and related",65
2007,"Anglia Ruskin University","History and Philosophical studies",45
2007,"Anglia Ruskin University","Creative Arts and Design",365
