year, uni, subject, num
2007,"The University of Aberdeen","Medicine and Dentistry",1440
2007,"The University of Aberdeen","Subjects allied to Medicine",570
2007,"The University of Aberdeen","Biological Sciences",1665
2007,"The University of Aberdeen","Veterinary Sciences, Agriculture and related",115
2007,"The University of Aberdeen","Physical Sciences",940
2007,"The University of Aberdeen","Mathematical Sciences",160
2007,"The University of Aberdeen","Engineering",1375
2007,"The University of Aberdeen","Computer Sciences",275
2007,"The University of Aberdeen","Technologies",10
2007,"The University of Aberdeen","Architecture, Building and Planning",210
2007,"The University of Aberdeen","Social Studies",1020
2007,"The University of Aberdeen","Law",1000
2007,"The University of Aberdeen","Business and Admin studies",770
2007,"The University of Aberdeen","Linguistics, Classics and related",315
2007,"The University of Aberdeen","European Languages, Literature and related",275
2007,"The University of Aberdeen","Non-European Languages, Literature and related",20
2007,"The University of Aberdeen","History and Philosophical studies",655
2007,"The University of Aberdeen","Creative Arts and Design",180
2007,"The University of Aberdeen","Education",1070
2007,"The University of Aberdeen","Combined arts",715
2007,"The University of Aberdeen","Combined sciences",180
2007,"The University of Aberdeen","Combined social sciences",545
2007,"The University of Aberdeen","Sciences combined with Social Sciences or Arts",710
2007,"The University of Aberdeen","Social Sciences combined with Arts",815
2007,"The University of Aberdeen","General, other combined and unknown",10
2007,"Abertay University","Subjects allied to Medicine",550
2007,"Abertay University","Biological Sciences",645
2007,"Abertay University","Veterinary Sciences, Agriculture and related",25
2007,"Abertay University","Physical Sciences",260
2007,"Abertay University","Engineering",140
2007,"Abertay University","Computer Sciences",695
2007,"Abertay University","Technologies",10
2007,"Abertay University","Social Studies",365
2007,"Abertay University","Law",410
2007,"Abertay University","Business and Admin studies",725
2007,"Abertay University","Mass Communication and Documentation",5
2007,"Abertay University","Creative Arts and Design",40
2007,"Abertay University","Combined sciences",170
2007,"Abertay University","Combined social sciences",15
2007,"Abertay University","Sciences combined with Social Sciences or Arts",485
2007,"Aberystwyth University","Biological Sciences",1040
2007,"Aberystwyth University","Veterinary Sciences, Agriculture and related",455
2007,"Aberystwyth University","Physical Sciences",820
2007,"Aberystwyth University","Mathematical Sciences",150
2007,"Aberystwyth University","Engineering",55
2007,"Aberystwyth University","Computer Sciences",425
2007,"Aberystwyth University","Social Studies",660
2007,"Aberystwyth University","Law",870
2007,"Aberystwyth University","Business and Admin studies",675
2007,"Aberystwyth University","Mass Communication and Documentation",165
2007,"Aberystwyth University","Linguistics, Classics and related",360
2007,"Aberystwyth University","European Languages, Literature and related",125
2007,"Aberystwyth University","Non-European Languages, Literature and related",40
2007,"Aberystwyth University","History and Philosophical studies",505
2007,"Aberystwyth University","Creative Arts and Design",760
2007,"Aberystwyth University","Education",5
2007,"Aberystwyth University","Combined arts",970
2007,"Aberystwyth University","Combined sciences",155
2007,"Aberystwyth University","Combined social sciences",210
2007,"Aberystwyth University","Sciences combined with Social Sciences or Arts",315
2007,"Aberystwyth University","Social Sciences combined with Arts",440
2007,"Aberystwyth University","General, other combined and unknown",40
2007,"ALRA (The Academy of Live and Recorded Arts)","Creative Arts and Design",1045
